,year,make,model,VClass,cylinders,displ,2D PassVol,2D LuggVol,4D PassVol,4D LuggVol,HatchPassVol,HatchLuggVol,drive,CombCityHwy MPG,CombCHW_Cost100miles,AggCombMPG,AggCombCHW_Cost100miles,HW mpg@55,HW@55_Cost100miles,HW mpg@65,HW@65_Cost100miles,HW mpg@75,HW@75_Cost100miles,HW mpg@85,HW@85_Cost100miles,HW mpg@95,HW mpg@105
39168,2023,Land Rover,Defender 130 P400 MHEV,Standard Sport Utility Vehicle 4WD,6.0,3.0,0,0,0,0,0,0,4-Wheel Drive,19,21.05,15,26.67,21,19.05,18,22.22,16,25.0,14,28.57,12,10
39173,2023,Audi,A5 Coupe quattro,Subcompact Cars,4.0,2.0,84,11,0,0,0,0,All-Wheel Drive,27,14.81,21,19.05,32,12.5,28,14.29,24,16.67,21,19.05,18,15
39174,2023,Audi,A5 Cabriolet quattro,Subcompact Cars,4.0,2.0,83,9,0,0,0,0,All-Wheel Drive,26,15.38,20,20.0,31,12.9,27,14.81,24,16.67,21,19.05,18,15
39175,2023,BMW,M4 CSL Coupe,Subcompact Cars,6.0,3.0,87,12,0,0,0,0,Rear-Wheel Drive,18,22.22,14,28.57,23,17.39,20,20.0,17,23.53,14,28.57,12,10
39177,2023,Audi,A4 S-Line quattro,Compact Cars,4.0,2.0,0,0,92,12,0,0,All-Wheel Drive,27,14.81,21,19.05,32,12.5,28,14.29,24,16.67,21,19.05,18,15
39178,2023,Audi,A4 quattro,Compact Cars,4.0,2.0,0,0,92,12,0,0,All-Wheel Drive,28,14.29,22,18.18,33,12.12,29,13.79,25,16.0,22,18.18,19,16
39179,2023,Kia,Rio,Compact Cars,4.0,1.6,0,0,90,14,91,17,Front-Wheel Drive,36,11.11,28,14.29,41,9.76,36,11.11,32,12.5,28,14.29,24,20
39180,2023,Volkswagen,GLI,Compact Cars,4.0,2.0,0,0,94,16,0,0,Front-Wheel Drive,30,13.33,24,16.67,37,10.81,33,12.12,29,13.79,25,16.0,21,17
39181,2023,Volkswagen,GLI,Compact Cars,4.0,2.0,0,0,94,16,0,0,Front-Wheel Drive,30,13.33,24,16.67,36,11.11,32,12.5,28,14.29,24,16.67,20,17
39182,2023,Audi,A6 quattro,Midsize Cars,4.0,2.0,0,0,99,14,0,0,All-Wheel Drive,27,14.81,21,19.05,31,12.9,27,14.81,24,16.67,21,19.05,18,15
39183,2023,Audi,A7,Midsize Cars,6.0,3.0,0,0,0,0,95,25,All-Wheel Drive,24,16.67,19,21.05,30,13.33,27,14.81,24,16.67,21,19.05,18,15
39184,2023,Audi,A6 quattro,Midsize Cars,6.0,3.0,0,0,99,14,0,0,All-Wheel Drive,24,16.67,19,21.05,30,13.33,27,14.81,24,16.67,21,19.05,18,15
39185,2023,Audi,A5 Sportback S-Line quattro,Midsize Cars,4.0,2.0,0,0,0,0,91,22,All-Wheel Drive,27,14.81,21,19.05,32,12.5,28,14.29,24,16.67,21,19.05,18,15
39186,2023,Audi,A5 Sportback quattro,Midsize Cars,4.0,2.0,0,0,0,0,91,22,All-Wheel Drive,28,14.29,22,18.18,33,12.12,29,13.79,25,16.0,22,18.18,19,16
39188,2023,Audi,S6,Midsize Cars,6.0,2.9,0,0,99,14,0,0,All-Wheel Drive,22,18.18,17,23.53,26,15.38,23,17.39,20,20.0,17,23.53,14,11
39189,2023,Audi,S7,Midsize Cars,6.0,2.9,0,0,0,0,94,25,All-Wheel Drive,22,18.18,17,23.53,26,15.38,23,17.39,20,20.0,17,23.53,14,11
39190,2023,Cadillac,CT5 V,Midsize Cars,8.0,6.2,0,0,99,11,0,0,Rear-Wheel Drive,16,25.0,12,33.33,21,19.05,18,22.22,16,25.0,14,28.57,12,10
39191,2023,BMW,740i Sedan,Large Cars,6.0,3.0,0,0,112,14,0,0,Rear-Wheel Drive,27,14.81,21,19.05,31,12.9,27,14.81,24,16.67,21,19.05,18,15
39192,2023,BMW,760i xDrive Sedan,Large Cars,8.0,4.4,0,0,112,14,0,0,All-Wheel Drive,21,19.05,16,25.0,26,15.38,23,17.39,20,20.0,17,23.53,14,11
39199,2023,Volkswagen,Arteon,Large Cars,4.0,2.0,0,0,96,27,0,0,Front-Wheel Drive,28,14.29,22,18.18,33,12.12,29,13.79,25,16.0,22,18.18,19,16
39200,2023,Volkswagen,Arteon 4motion,Large Cars,4.0,2.0,0,0,96,27,0,0,All-Wheel Drive,25,16.0,20,20.0,31,12.9,27,14.81,24,16.67,21,19.05,18,15
39201,2023,Audi,A4 allroad quattro,Small Station Wagons,4.0,2.0,0,0,92,24,0,0,All-Wheel Drive,26,15.38,20,20.0,30,13.33,27,14.81,24,16.67,21,19.05,18,15
39202,2023,Kia,Niro,Small Station Wagons,4.0,1.6,0,0,105,23,0,0,Front-Wheel Drive,49,8.16,39,10.26,45,8.89,40,10.0,35,11.43,30,13.33,26,22
39203,2023,Kia,Niro FE,Small Station Wagons,4.0,1.6,0,0,105,23,0,0,Front-Wheel Drive,53,7.55,42,9.52,54,7.41,48,8.33,42,9.52,36,11.11,31,26
39204,2023,Audi,A6 Allroad,Midsize Station Wagons,6.0,3.0,0,0,101,30,0,0,All-Wheel Drive,24,16.67,19,21.05,30,13.33,27,14.81,24,16.67,21,19.05,18,15
39207,2023,Volkswagen,Atlas,Small Sport Utility Vehicle 2WD,4.0,2.0,0,0,0,0,0,0,Front-Wheel Drive,23,17.39,18,22.22,25,16.0,22,18.18,19,21.05,16,25.0,13,11
39208,2023,Volkswagen,Atlas Cross Sport,Small Sport Utility Vehicle 2WD,4.0,2.0,0,0,0,0,0,0,Front-Wheel Drive,23,17.39,18,22.22,25,16.0,22,18.18,19,21.05,16,25.0,13,11
39210,2023,Volkswagen,Atlas,Small Sport Utility Vehicle 2WD,6.0,3.6,0,0,0,0,0,0,Front-Wheel Drive,20,20.0,16,25.0,24,16.67,21,19.05,18,22.22,15,26.67,13,11
39211,2023,Volkswagen,Atlas Cross Sport,Small Sport Utility Vehicle 2WD,6.0,3.6,0,0,0,0,0,0,Front-Wheel Drive,20,20.0,16,25.0,24,16.67,21,19.05,18,22.22,15,26.67,13,11
39212,2023,Volkswagen,Taos,Small Sport Utility Vehicle 2WD,4.0,1.5,0,0,100,28,0,0,Front-Wheel Drive,31,12.9,24,16.67,36,11.11,32,12.5,28,14.29,24,16.67,20,17
39213,2023,Audi,Q5 quattro,Small Sport Utility Vehicle 4WD,4.0,2.0,0,0,0,0,0,0,All-Wheel Drive,25,16.0,20,20.0,29,13.79,26,15.38,23,17.39,20,20.0,17,14
39214,2023,Audi,Q5 S-Line quattro,Small Sport Utility Vehicle 4WD,4.0,2.0,0,0,0,0,0,0,All-Wheel Drive,25,16.0,20,20.0,29,13.79,26,15.38,23,17.39,20,20.0,17,14
39215,2023,Audi,Q5 Sportback S-line quattro,Small Sport Utility Vehicle 4WD,4.0,2.0,0,0,0,0,0,0,All-Wheel Drive,25,16.0,20,20.0,29,13.79,26,15.38,23,17.39,20,20.0,17,14
39216,2023,Hyundai,Tucson Hybrid,Small Sport Utility Vehicle 4WD,4.0,1.6,0,0,0,0,0,0,All-Wheel Drive,37,10.81,29,13.79,36,11.11,32,12.5,28,14.29,24,16.67,20,17
39217,2023,Hyundai,Tucson Hybrid Blue,Small Sport Utility Vehicle 4WD,4.0,1.6,0,0,0,0,0,0,All-Wheel Drive,38,10.53,30,13.33,38,10.53,34,11.76,30,13.33,26,15.38,22,18
39218,2023,Hyundai,Tucson AWD,Small Sport Utility Vehicle 4WD,4.0,2.5,0,0,0,0,0,0,All-Wheel Drive,25,16.0,20,20.0,28,14.29,25,16.0,22,18.18,19,21.05,16,13
39219,2023,Jeep,Wrangler 4dr EcoDiesel 4WD,Small Sport Utility Vehicle 4WD,6.0,3.0,0,0,0,0,0,0,4-Wheel Drive,25,16.0,20,20.0,29,13.79,26,15.38,23,17.39,20,20.0,17,14
39221,2023,Jeep,Wrangler Rubic 4dr EcoDiesel 4WD,Small Sport Utility Vehicle 4WD,6.0,3.0,0,0,0,0,0,0,4-Wheel Drive,23,17.39,18,22.22,26,15.38,23,17.39,20,20.0,17,23.53,14,11
39222,2023,Jeep,Wrangler 2dr 4WD,Small Sport Utility Vehicle 4WD,4.0,2.0,0,0,0,0,0,0,4-Wheel Drive,23,17.39,18,22.22,24,16.67,21,19.05,18,22.22,15,26.67,13,11
39223,2023,Jeep,Wrangler 2dr 4WD,Small Sport Utility Vehicle 4WD,6.0,3.6,0,0,0,0,0,0,4-Wheel Drive,21,19.05,16,25.0,24,16.67,21,19.05,18,22.22,15,26.67,13,11
39224,2023,Jeep,Wrangler 2dr 4WD,Small Sport Utility Vehicle 4WD,6.0,3.6,0,0,0,0,0,0,4-Wheel Drive,20,20.0,16,25.0,25,16.0,22,18.18,19,21.05,16,25.0,13,11
39225,2023,Jeep,Wrangler 4dr 4WD,Small Sport Utility Vehicle 4WD,4.0,2.0,0,0,0,0,0,0,4-Wheel Drive,22,18.18,17,23.53,24,16.67,21,19.05,18,22.22,15,26.67,13,11
39226,2023,Jeep,Wrangler 4dr 4WD,Small Sport Utility Vehicle 4WD,6.0,3.6,0,0,0,0,0,0,4-Wheel Drive,21,19.05,16,25.0,24,16.67,21,19.05,18,22.22,15,26.67,13,11
39227,2023,Jeep,Wrangler 4dr 4WD,Small Sport Utility Vehicle 4WD,6.0,3.6,0,0,0,0,0,0,4-Wheel Drive,19,21.05,15,26.67,23,17.39,20,20.0,17,23.53,14,28.57,12,10
39228,2023,Jeep,Wrangler 4dr 4WD,Small Sport Utility Vehicle 4WD,8.0,6.4,0,0,0,0,0,0,4-Wheel Drive,14,28.57,11,36.36,17,23.53,15,26.67,13,30.77,11,36.36,9,7
39229,2023,Mercedes-Benz,GLB250 4matic,Small Sport Utility Vehicle 4WD,4.0,2.0,0,0,0,0,0,0,All-Wheel Drive,25,16.0,20,20.0,30,13.33,27,14.81,24,16.67,21,19.05,18,15
39230,2023,Volkswagen,Atlas 4motion,Small Sport Utility Vehicle 4WD,4.0,2.0,0,0,0,0,0,0,All-Wheel Drive,22,18.18,17,23.53,24,16.67,21,19.05,18,22.22,15,26.67,13,11
39233,2023,Volkswagen,Atlas 4motion,Small Sport Utility Vehicle 4WD,6.0,3.6,0,0,0,0,0,0,All-Wheel Drive,20,20.0,16,25.0,23,17.39,20,20.0,17,23.53,14,28.57,12,10
